tid,slope,roughness,bed_level_x,aspect,bed_level_y,change,change_norm,predicted_target_norm,predicted_target
36213,6.2076,0.0064,7.0985,229.174,7.0824,-0.01609999999999978,-0.45148969318567866,-0.33079028,-0.006164275
36214,4.4066,0.0059,7.3798,236.299,7.3439,-0.03590000000000071,-0.6920205582614904,-0.29552913,-0.0032616518
36215,1.9396,0.0017,7.5747,151.445,7.7172,0.14250000000000007,1.4751868321184596,0.17649134,0.03559409
36216,1.5406,0.0011,7.6166,136.486,7.7024,0.08579999999999988,0.7863939003104828,0.3241282,0.04774725
36217,1.427,0.0011,7.6459,136.983,7.6852,0.03929999999999989,0.2215108080870119,0.33678162,0.048788853
36218,0.93,0.0013,7.6807,102.504,7.6799,-0.0007999999999999119,-0.26562493380892527,0.3718261,0.051673643
36219,3.9325,0.006,7.6995,63.6101,7.6621,-0.03739999999999988,-0.7102425934944956,-0.20348011,0.0043156333
36220,11.2348,0.0104,7.3216,51.0476,7.31,-0.011600000000000499,-0.39682358748664176,-0.6093065,-0.029091151
36221,4.5999,0.0069,6.9271,59.6395,6.9552,0.028099999999999348,0.08545294501382518,-0.21209179,0.0036067367
36222,2.3794,0.0028,6.8159,75.4346,6.8417,0.025800000000000267,0.05751249098987972,0.076404065,0.027355116
36223,2.6257,0.0024,6.7662,36.9016,6.7656,-0.000600000000000378,-0.2631953291111956,0.08859196,0.028358398
36224,2.5675,0.0025,6.6243,342.49,6.6534,0.02910000000000057,0.09760096850251683,0.070259064,0.026849272
36225,2.1188,0.002,6.6323,263.294,6.6656,0.03330000000000055,0.14862266715495914,0.03868644,0.024250278
36226,2.2076,0.0022,6.6534,249.836,6.677,0.023599999999999177,0.030786839314777523,-0.0043699592,0.020705966
36227,2.6653,0.0029,6.7409,243.443,6.7367,-0.0041999999999999815,-0.3069282136704272,-0.07174197,0.015160042
36228,3.039,0.0029,6.8167,256.016,6.8085,-0.008199999999999541,-0.35552030762512904,-0.07498632,0.014892974
36229,3.5457,0.0043,6.858,238.76,6.8833,0.025300000000000544,0.05143847924554469,-0.1702574,0.0070504565
36230,5.4616,0.006,7.1208,233.139,7.1302,0.009400000000000297,-0.14171509422441939,-0.3059489,-0.004119387
36231,5.3361,0.0057,7.5456,51.7713,7.4126,-0.133,-1.8715936390119992,-0.21373291,0.0034716427
36232,7.0299,0.0075,7.2504,53.4299,7.2071,-0.04330000000000034,-0.7819159320776943,-0.33066177,-0.006153697
36233,3.5854,0.0046,6.9737,53.0479,6.996,0.02230000000000043,0.014994408779512915,-0.06585564,0.015644593
36234,1.7414,0.002,6.8523,60.2408,6.9051,0.0528000000000004,0.3855091251841549,0.17073236,0.035120025
